Album,Mood,Theme,Style,Scene,Instruments,SearchTerms,NegativeTerms,Notes
After Hours at Maja's,"Relaxed, nocturnal",Late-night coffeehouse jazz,Cool jazz trio,Cozy cafe at night with rain,"Piano player, focus on piano, upright bass, jazz brush drums","night cafe, warm lights, rain, jazz club","text, logo, watermark, people close-up, low quality, blurry",
Aroma & All That Jazz,"Warm, inviting",Coffee aromas,Classic cafe jazz,Fresh coffee beside window,"Piano player, focus on piano, upright bass, jazz brush drums","coffee beans, steam, cozy cafe","text, logo, watermark, people close-up, low quality, blurry",
Bittersweet Afterglow,Melancholic,Reflective sunset,Contemporary piano jazz,Golden dusk over city,"Piano player, focus on piano, upright bass, jazz brush drums, noir, low saxophone,n oir","sunset, amber glow, reflective","text, logo, watermark, people close-up, low quality, blurry",
Breeze over Beans,"Bright, breezy",Latin American flute jazz,Latin jazz with flute,Coffee plantation hillside,"Flute, wind instruments, panpipe","andes, coffee farm, flute, tropical breeze","text, logo, watermark, people close-up, low quality, blurry",
Café Atmospheres,Calm,European café,Light instrumental jazz,Street café terrace,"Piano player, focus on piano, upright bass, jazz brush drums, noir, low saxophone,n oir","paris cafe, espresso, morning","text, logo, watermark, people close-up, low quality, blurry",
Cafe Da Manha,Fresh,Brazilian breakfast,Bossa nova,Rio cafe morning,"Bossa nova, cuban/afro drums, percussion","brazil cafe, morning, bossa","text, logo, watermark, people close-up, low quality, blurry",
Chroma Drift - Crema Edition,Dreamy,Abstract coffee art,Nu jazz,Swirling latte art,"Futuristic jazz style, keyboards, drum machines","abstract crema, colorful","text, logo, watermark, people close-up, low quality, blurry",
City Shadows,Moody,Urban noir,Modern jazz,Rainy neon street,"Noir, baritone saxphone, clarinet","city night, neon, rain","text, logo, watermark, people close-up, low quality, blurry",
Dust & Decaf,Rustic,Desert cafe,Acoustic jazz,Old roadside coffee stop,"Guitar, electirc guitar","desert, dusty cafe","text, logo, watermark, people close-up, low quality, blurry",
Electric Aftertaste,Energetic,Electric fusion,Jazz fusion,Cyberpunk coffee bar,"Futuristic jazz style, keyboards, drum machines","neon cafe, synth","text, logo, watermark, people close-up, low quality, blurry",
Enter the Lofi Hour,Chill,Lo-fi study,Lo-fi jazz,Desk by rainy window,"Lofi hiphop, drum machine, tape machine","lofi room, rain","text, logo, watermark, people close-up, low quality, blurry",
Enter the Lo-Fi Zone: Chapter 2,Focus,Lo-fi continuation,Lo-fi jazz beats,Cozy bedroom studio,"Lofi hiphop, drum machine, tape machine","anime style room, study","text, logo, watermark, people close-up, low quality, blurry",
Espresso Conversations,Friendly,Conversation over coffee,Smooth jazz,Cafe table for two,"Piano player, focus on piano, upright bass, jazz brush drums, noir, low saxophone,n oir",espresso cups,"text, logo, watermark, people close-up, low quality, blurry",
Evening Espresso Tales,Cozy,Night stories,Smooth jazz,Dimly lit cafe,"Piano player, focus on piano, upright bass, jazz brush drums, noir, low saxophone,n oir",evening espresso,"text, logo, watermark, people close-up, low quality, blurry",
Fusion of Two Minds,Creative,Musical collaboration,Jazz fusion,Abstract duality,"Futuristic jazz style, keyboards, drum machines",two instruments abstract,"text, logo, watermark, people close-up, low quality, blurry",
"Jazz Quake, the Bebop Breakdown",Explosive,High-energy bebop,Bebop,Vintage club stage,"Saxophone, big band, big ensemble, large room jazz",bebop club,"text, logo, watermark, people close-up, low quality, blurry",
Lounge Harmonics: Post Grind,Sophisticated,Modern lounge,Lounge jazz,Upscale hotel lounge,"Piano player, focus on piano, upright bass, jazz brush drums",luxury lounge,"text, logo, watermark, people close-up, low quality, blurry",
"Maja's Coffee Jazz Moments, Pt. 1",Comforting,Coffee moments,Coffeehouse jazz,Morning cafe,"Piano player, focus on piano, upright bass, jazz brush drums",cozy coffee,"text, logo, watermark, people close-up, low quality, blurry",
"Maja's Coffee Jazz Moments, Pt. 2",Comforting,Coffee moments,Coffeehouse jazz,Afternoon cafe,"Piano player, focus on piano, upright bass, jazz brush drums",afternoon coffee,"text, logo, watermark, people close-up, low quality, blurry",
Marimba Time!,Playful,World percussion,Marimba jazz,Tropical garden,Marimba,marimba tropical,"text, logo, watermark, people close-up, low quality, blurry",
Midnight Alibi,Mysterious,Film noir,Dark jazz,Foggy alley,"Piano player, focus on piano, upright bass, jazz brush drums",film noir jazz,"text, logo, watermark, people close-up, low quality, blurry",
Midnight Brew: Fingerstyle Jazz at Maja's,Intimate,Late-night guitar,Fingerstyle jazz,Cafe with acoustic guitar,acoustic guitar,fingerstyle guitar cafe,"text, logo, watermark, people close-up, low quality, blurry",
Midnight Filter,Reflective,Coffee filter metaphor,Ambient jazz,Moonlit coffee setup,,midnight coffee,"text, logo, watermark, people close-up, low quality, blurry",
Modal Skylines,Expansive,Modern city,Modal jazz,Skyline at blue hour,Modal paiano,city skyline dusk,"text, logo, watermark, people close-up, low quality, blurry",
Morning Drizzle Jazz,Fresh,Rainy morning,Light jazz,Rain on cafe window,,rain window coffee,"text, logo, watermark, people close-up, low quality, blurry",
On the Breeze,Airy,Coastal jazz,Smooth jazz,Sea cliffs breeze,"Flute, wind instruments, panpipe",ocean cliffs breeze,"text, logo, watermark, people close-up, low quality, blurry",
Parisian Brew,Elegant,Paris cafe,French jazz,Paris street cafe,"Accordian, gypsy jazz instruments",Paris espresso,"text, logo, watermark, people close-up, low quality, blurry",
Pocket Theory,Intellectual,Music theory,Modern jazz,Notebook and piano,"Lofi hiphop, drum machine, tape machine",music manuscript,"text, logo, watermark, people close-up, low quality, blurry",
Sips of Ipanema,Sunny,Brazilian beach,Bossa nova,Ipanema promenade,"Bossa nova, cuban/afro drums, percussion",rio beach bossa,"text, logo, watermark, people close-up, low quality, blurry",
Six Strings at Sunset,Warm,Guitar feature,Fingerstyle jazz,Sunset over hills,"Guitar, electirc guitar",acoustic guitar sunset,"text, logo, watermark, people close-up, low quality, blurry",
Spam Jazz,Humorous,Retro internet,Novelty jazz,Whimsical collage,,retro computer,"text, logo, watermark, people close-up, low quality, blurry",
Sunset Samba Sessions,Joyful,Brazilian samba,Samba jazz,Sunset beach,,brazil sunset samba,"text, logo, watermark, people close-up, low quality, blurry",
The Chamber Sessions,Refined,Small ensemble,Chamber jazz,Historic recital room,,wood chamber music,"text, logo, watermark, people close-up, low quality, blurry",
The Infinite Pour,Flowing,Endless coffee,Ambient jazz,Infinite coffee stream,,surreal coffee,"text, logo, watermark, people close-up, low quality, blurry",
The Mike McKenzie Trio - Midnight at the Keys,Classic,Piano trio,Piano jazz,Grand piano at night,,piano trio,"text, logo, watermark, people close-up, low quality, blurry",
The Mike Mckenzie Trio Presents: the Hammond File,Groovy,Hammond organ,Soul jazz,Vintage organ club,,Hammond organ,"text, logo, watermark, people close-up, low quality, blurry",
The Roasted Sessions,Warm,Roasted coffee,Coffeehouse jazz,Roastery interior,,coffee roastery,"text, logo, watermark, people close-up, low quality, blurry",
The Sacred Brew,Peaceful,Spiritual coffee,Sacred jazz,Quiet chapel cafe,,stained glass coffee,"text, logo, watermark, people close-up, low quality, blurry",
Twilight Sips,Serene,Twilight coffee,Smooth jazz,Blue hour patio,,twilight cafe,"text, logo, watermark, people close-up, low quality, blurry",
Unfiltered,Raw,Authentic expression,Improvised jazz,Minimalist studio,,raw analog,"text, logo, watermark, people close-up, low quality, blurry",
Urban Roast Sessions,Modern,City coffee,Nu jazz,Industrial cafe,,industrial cafe,"text, logo, watermark, people close-up, low quality, blurry",
Velvet Brew,Luxurious,Velvet textures,Smooth jazz,Plush lounge,,velvet lounge,"text, logo, watermark, people close-up, low quality, blurry",
"When the City Sleeps, the Guitar Speaks",Quiet,Night guitar,Solo guitar jazz,Empty city street,"Guitar, electirc guitar",night guitar city,"text, logo, watermark, people close-up, low quality, blurry",
Wooden Reverie,Organic,Wood and nature,Acoustic jazz,Wood cabin,"Bossa nova, cuban/afro drums, percussion, marimba",wood textures forest,"text, logo, watermark, people close-up, low quality, blurry",
Zen & The Art of Espresso,Meditative,Japanese-inspired coffee ritual,Minimal jazz,Zen garden tea/coffee,meditative,zen garden coffee,"text, logo, watermark, people close-up, low quality, blurry",
