Album,Mood,Theme,Style,Scene,Instruments,SearchTerms,NegativeTerms,Notes
After Hours at Maja's,"Relaxed, nocturnal, rainy, intimate",Late-night coffeehouse jazz and quiet after-hours cafe ambience,"Cool jazz trio, smoky piano jazz, soft brush swing",Cozy cafe at night with rain on windows and warm table lights,"Piano, upright bass, jazz brush drums, muted saxophone",rainy night cafe window | warm coffee shop lights | late night jazz club | cozy cafe rain ambience | piano trio in small bar | espresso at night | candlelit coffee table,"text, logo, watermark, people close-up, low quality, blurry",
Aroma & All That Jazz,"Warm, inviting, aromatic, gentle","Coffee aromas, morning warmth, classic cafe comfort","Classic cafe jazz, smooth piano trio, mellow swing",Fresh coffee beside window with steam and morning light,"Piano, upright bass, jazz brush drums, soft saxophone",steaming coffee beside window | fresh coffee beans close up | cozy morning cafe | warm espresso steam | coffee shop piano ambience | sunlight through cafe window | barista pouring coffee,"text, logo, watermark, people close-up, low quality, blurry",
Bittersweet Afterglow,"Melancholic, reflective, amber, cinematic",Reflective sunset and bittersweet city calm,"Contemporary piano jazz, noir ballad, mellow sax jazz",Golden dusk over city with soft reflections,"Piano, upright bass, brush drums, low saxophone, muted trumpet",golden city sunset | amber evening skyline | reflective city windows | melancholy sunset street | dusk cafe window | cinematic urban afterglow | soft saxophone noir mood,"text, logo, watermark, people close-up, low quality, blurry",
Breeze over Beans,"Bright, breezy",Latin American flute jazz,Latin jazz with flute,Coffee plantation hillside,"Flute, wind instruments, panpipe",birds flying over mountains | Peru mountains nature | Machu Picchu landscape | Latin American mountains | Andean mountain scenery | outdoor birds flying | misty mountain sunrise | nature birds forest | mountain valley clouds | peaceful outdoor nature | flute music nature | cinematic Peru landscape,"text, logo, watermark, people close-up, low quality, blurry",
Café Atmospheres,"Calm, elegant, relaxed, morning",European cafe atmosphere and quiet street terrace,"Light instrumental jazz, cafe jazz, soft piano lounge",Street cafe terrace with espresso and morning pedestrians,"Piano, upright bass, brush drums, accordion, soft saxophone",European cafe terrace | Paris morning cafe | espresso on outdoor table | quiet street cafe | cobblestone cafe ambience | soft morning cafe light | sidewalk coffee shop,"text, logo, watermark, people close-up, low quality, blurry",
Cafe Da Manha,"Fresh, sunny, bright, breezy",Brazilian breakfast cafe and morning bossa warmth,"Bossa nova, Brazilian jazz, light Latin percussion",Rio cafe morning with sunlight and breakfast coffee,"Nylon guitar, bossa percussion, shakers, upright bass, soft piano",Brazilian morning cafe | Rio breakfast coffee | sunny bossa nova cafe | tropical coffee morning | cafe da manha table | Latin breakfast terrace | warm morning espresso,"text, logo, watermark, people close-up, low quality, blurry",
Chroma Drift - Crema Edition,"Dreamy, colorful, fluid, modern","Abstract coffee art, crema patterns, chromatic motion","Nu jazz, electronic jazz, future lounge",Swirling latte art and colorful abstract light,"Electric piano, synthesizers, drum machines, upright bass, ambient keys",swirling latte art | colorful coffee crema | abstract coffee macro | neon liquid colors | modern cafe light reflections | dreamy espresso close up | chromatic abstract background,"text, logo, watermark, people close-up, low quality, blurry",
City Shadows,"Moody, nocturnal, noir, tense","Urban noir, rain streets, city shadows","Modern jazz, noir jazz, dark saxophone jazz",Rainy neon street with reflections and night traffic,"Baritone saxophone, clarinet, piano, upright bass, brushed drums",rainy neon street | city night reflections | noir alley lights | urban jazz club exterior | wet pavement neon | late night city shadows | moody saxophone bar,"text, logo, watermark, people close-up, low quality, blurry",
Dust & Decaf,"Rustic, dusty, laid-back, earthy","Desert cafe, roadside calm, acoustic warmth","Acoustic jazz, desert blues jazz, fingerstyle guitar",Old roadside coffee stop in dry desert light,"Acoustic guitar, electric guitar, upright bass, light percussion",desert roadside cafe | dusty coffee stop | acoustic guitar sunset | old diner desert road | warm desert landscape | rustic cafe table | dry highway coffee shop,"text, logo, watermark, people close-up, low quality, blurry",
Electric Aftertaste,"Energetic, neon, futuristic, sharp",Electric fusion and cyberpunk coffee bar energy,"Jazz fusion, electro jazz, synth jazz",Cyberpunk coffee bar with neon lights and electronics,"Synthesizers, electric piano, drum machines, electric bass, saxophone",cyberpunk coffee bar | neon cafe lights | futuristic jazz lounge | synthwave city night | electric piano studio | neon espresso bar | colorful urban nightlife,"text, logo, watermark, people close-up, low quality, blurry",
Enter the Lofi Hour,"Chill, rainy, nostalgic, focused","Lo-fi study hour, rainy desk, quiet night routine","Lo-fi jazz, chillhop, tape-warm jazz beats",Desk by rainy window with headphones and coffee,"Rhodes piano, drum machine, tape machine, soft bass, vinyl crackle",lofi study room rain | rainy desk coffee | cozy bedroom workspace | headphones coffee window | vintage tape recorder | chill study ambience | night desk lamp,"text, logo, watermark, people close-up, low quality, blurry",
Enter the Lo-Fi Zone: Chapter 2,"Focused, cozy, nostalgic, mellow","Lo-fi continuation, bedroom studio, late study zone","Lo-fi jazz beats, chillhop jazz, dusty drum loops","Cozy bedroom studio with laptop, lamp, coffee and vinyl","Rhodes piano, drum machine, tape machine, sampler, soft bass",cozy bedroom studio | lofi desk setup | vinyl record room | late night study coffee | warm desk lamp ambience | chillhop workspace | rainy bedroom window,"text, logo, watermark, people close-up, low quality, blurry",
Espresso Conversations,"Friendly, conversational, warm, social",Conversation over coffee and smooth cafe connection,"Smooth jazz, cafe lounge jazz, mellow sax jazz",Cafe table for two with espresso cups and soft chatter,"Piano, upright bass, brush drums, low saxophone",espresso cups on cafe table | two coffees by window | cozy cafe conversation | warm coffee date table | smooth jazz coffee shop | candlelit espresso table | intimate cafe booth,"text, logo, watermark, people close-up, low quality, blurry",
Evening Espresso Tales,"Cozy, narrative, evening, intimate","Night stories, espresso rituals, soft cafe storytelling","Smooth jazz, mellow piano jazz, lounge ballad","Dimly lit cafe with espresso, books and warm lamps","Piano, upright bass, brush drums, soft saxophone",evening espresso cafe | dimly lit coffee shop | warm lamp cafe table | night coffee and book | cozy cafe storytelling | espresso by candlelight | late evening cafe window,"text, logo, watermark, people close-up, low quality, blurry",
Fusion of Two Minds,"Creative, electric, collaborative, modern","Musical collaboration, duality, two ideas meeting","Jazz fusion, modern electric jazz, experimental groove",Abstract duality with two instruments and mirrored light,"Synthesizers, electric piano, drum machines, electric bass, saxophone",two musicians jamming | abstract duality lights | modern jazz fusion studio | electric piano performance | creative music collaboration | mirrored neon shapes | synth jazz studio,"text, logo, watermark, people close-up, low quality, blurry",
"Jazz Quake, the Bebop Breakdown","Explosive, fast, energetic, vintage","High-energy bebop, club excitement, musical impact","Bebop, hard bop, big ensemble jazz",Vintage club stage with fast jazz energy and brass,"Saxophone, trumpet, upright bass, drums, big band horns",vintage jazz club stage | bebop saxophone performance | energetic jazz band | brass section stage lights | fast jazz drums | crowded jazz club | saxophone solo spotlight,"text, logo, watermark, people close-up, low quality, blurry",
Lounge Harmonics: Post Grind,"Sophisticated, polished, late-night, smooth","Modern lounge after work, upscale calm, hotel bar","Lounge jazz, smooth jazz, cocktail piano",Upscale hotel lounge with low lights and polished surfaces,"Piano, upright bass, brush drums, soft saxophone",luxury hotel lounge | upscale cocktail bar | modern lounge piano | velvet hotel lobby | evening bar lights | sophisticated cafe lounge | smooth jazz lounge ambience,"text, logo, watermark, people close-up, low quality, blurry",
"Maja's Coffee Jazz Moments, Pt. 1","Comforting, bright, gentle, homely","Coffee moments, morning rituals, everyday cafe warmth","Coffeehouse jazz, soft piano jazz, mellow swing","Morning cafe with coffee, pastries and warm window light","Piano, upright bass, jazz brush drums, soft saxophone",cozy morning coffee shop | coffee cup window light | breakfast cafe table | warm cafe interior | pastry and espresso | gentle piano cafe | morning coffee ritual,"text, logo, watermark, people close-up, low quality, blurry",
"Maja's Coffee Jazz Moments, Pt. 2","Comforting, relaxed, afternoon, soft","Coffee moments, afternoon pause, gentle cafe life","Coffeehouse jazz, mellow instrumental jazz, smooth cafe jazz",Afternoon cafe with soft light and quiet tables,"Piano, upright bass, jazz brush drums, soft saxophone",afternoon coffee shop | quiet cafe table | soft sunlight cafe | cappuccino on table | relaxing coffee break | warm cafe corner | smooth jazz coffee ambience,"text, logo, watermark, people close-up, low quality, blurry",
Marimba Time!,"Playful, bright, tropical, rhythmic","World percussion, marimba rhythm, tropical garden","Marimba jazz, Latin jazz, world jazz percussion",Tropical garden with wooden percussion and colorful light,"Marimba, hand percussion, shakers, upright bass, acoustic guitar",marimba performance | tropical garden music | wooden percussion close up | Latin percussion outdoors | sunny tropical cafe | colorful garden rhythm | acoustic world jazz,"text, logo, watermark, people close-up, low quality, blurry",
Midnight Alibi,"Mysterious, smoky, tense, nocturnal","Film noir, hidden stories, dark midnight jazz","Dark jazz, noir jazz, smoky club jazz","Foggy alley, dim bar entrance and shadowy street lights","Piano, upright bass, brush drums, muted trumpet, low saxophone",film noir alley | foggy city street night | smoky jazz bar | detective noir shadows | dark jazz club lights | midnight street lamps | moody trumpet lounge,"text, logo, watermark, people close-up, low quality, blurry",
Midnight Brew: Fingerstyle Jazz at Maja's,"Intimate, late-night, warm, acoustic","Late-night guitar, quiet cafe, fingerstyle storytelling","Fingerstyle jazz, solo guitar jazz, acoustic cafe jazz","Cafe with acoustic guitar, midnight coffee and warm lamp","Acoustic guitar, fingerstyle guitar, upright bass, soft percussion",fingerstyle guitar cafe | acoustic guitar close up | late night coffee guitar | warm lamp guitar room | solo jazz guitar | cozy acoustic cafe | midnight coffee table,"text, logo, watermark, people close-up, low quality, blurry",
