FilePath,Title,Tags,SourceUrl,Creator,License,CommercialUse,AttributionRequired,Approved,Notes
"C:\Users\willi\Documents\Codex\2026-06-06\i-want-to-create-something-that\outputs\jazz-content-scheduler\visual-sources\approved-videos\pexels-29459385-cozy-bedroom-studio-with-laptop.mp4","https://www.pexels.com/video/elegant-modern-interior-design-showcasing-cozy-spaces-29459385/","pexels query Cozy bedroom studio with laptop","https://www.pexels.com/video/elegant-modern-interior-design-showcasing-cozy-spaces-29459385/","Kanvas Designs","Pexels License","yes","recommended","yes","Auto-sourced during render on 2026-08-03T16:15:16.2246471+01:00. Query: Cozy bedroom studio with laptop."
"C:\Users\willi\Documents\Codex\2026-06-06\i-want-to-create-something-that\outputs\jazz-content-scheduler\visual-sources\approved-videos\pexels-30795313-lamp.mp4","https://www.pexels.com/video/snowy-street-scene-with-vintage-lamp-post-30795313/","pexels query lamp","https://www.pexels.com/video/snowy-street-scene-with-vintage-lamp-post-30795313/","Hanifi Sarıkaya","Pexels License","yes","recommended","yes","Auto-sourced during render on 2026-08-03T16:16:34.6066574+01:00. Query: lamp."
"C:\Users\willi\Documents\Codex\2026-06-06\i-want-to-create-something-that\outputs\jazz-content-scheduler\visual-sources\approved-videos\pixabay-255761-plush-lounge-with-velvet-seats.mp4","Pixabay video 255761","airline, airplane, airplane window, airport, arrival, background, city at night with stars, city lights, city skyline, welcome, cityscape, destination, downtown, flight, landing, night city image view, night sky, noi bai international airport, plane window, skyline, terminal, view, window, window seat view pixabay query Plush lounge with velvet seats","https://pixabay.com/videos/id-255761/","luongleddata","Pixabay Content License","yes","not required","yes","Auto-sourced during render on 2026-08-03T16:20:07.0696427+01:00. Query: Plush lounge with velvet seats."
"C:\Users\willi\Documents\Codex\2026-06-06\i-want-to-create-something-that\outputs\jazz-content-scheduler\visual-sources\approved-videos\pixabay-122508-espresso-and-soft-lighting.mp4","Pixabay video 122508","latte, coffee, cafe, restaurant, drink, glass, cream, shop, trip, chocolate, cup, espresso, cappuccino, night, bar pixabay query espresso and soft lighting","https://pixabay.com/videos/id-122508/","Engin_Akyurt","Pixabay Content License","yes","not required","yes","Auto-sourced during render on 2026-08-03T16:22:07.5086792+01:00. Query: espresso and soft lighting."
"C:\Users\willi\Documents\Codex\2026-06-06\i-want-to-create-something-that\outputs\jazz-content-scheduler\visual-sources\approved-videos\pexels-36956436-swirling-latte-art-and-colorful-abstract-light.mp4","https://www.pexels.com/video/vibrant-neon-light-streaks-in-motion-36956436/","pexels query Swirling latte art and colorful abstract light","https://www.pexels.com/video/vibrant-neon-light-streaks-in-motion-36956436/","Nicola Narracci","Pexels License","yes","recommended","yes","Auto-sourced during render on 2026-08-03T16:25:41.0734962+01:00. Query: Swirling latte art and colorful abstract light."
"C:\Users\willi\Documents\Codex\2026-06-06\i-want-to-create-something-that\outputs\jazz-content-scheduler\visual-sources\approved-videos\pixabay-199015-swirling-latte-art-and-colorful-abstract-light.mp4","Pixabay video 199015","gradient, waves, colorful, abstract, bright, digital, dynamic, futuristic, luminous, beautiful wallpaper, stylish, visual effects, light, motion, background, wallpaper pixabay query Swirling latte art and colorful abstract light","https://pixabay.com/videos/id-199015/","draisthetic","Pixabay Content License","yes","not required","yes","Auto-sourced during render on 2026-08-03T16:27:26.7719011+01:00. Query: Swirling latte art and colorful abstract light."
"C:\Users\willi\Documents\Codex\2026-06-06\i-want-to-create-something-that\outputs\jazz-content-scheduler\visual-sources\approved-videos\pexels-30799138-sunset-over-hills-with-acoustic-guitar-and-warm-sky.mp4","https://www.pexels.com/video/scenic-sunset-over-rolling-hills-with-colorful-sky-30799138/","pexels query Sunset over hills with acoustic guitar and warm sky","https://www.pexels.com/video/scenic-sunset-over-rolling-hills-with-colorful-sky-30799138/","Rana g","Pexels License","yes","recommended","yes","Auto-sourced during render on 2026-08-03T16:31:35.7480715+01:00. Query: Sunset over hills with acoustic guitar and warm sky."
"C:\Users\willi\Documents\Codex\2026-06-06\i-want-to-create-something-that\outputs\jazz-content-scheduler\visual-sources\approved-videos\pexels-17366143-acoustic-guitar.mp4","https://www.pexels.com/video/beach-music-17366143/","pexels query Acoustic guitar","https://www.pexels.com/video/beach-music-17366143/","Tin Mazzo","Pexels License","yes","recommended","yes","Auto-sourced during render on 2026-08-03T16:33:37.6725808+01:00. Query: Acoustic guitar."
"C:\Users\willi\Documents\Codex\2026-06-06\i-want-to-create-something-that\outputs\jazz-content-scheduler\visual-sources\approved-videos\pixabay-243196-rio-cafe-morning-with-sunlight-and-breakfast-coffee.mp4","Pixabay video 243196","sunrise, mountains, mountain scenery, sunlight, morning sun, landscape, nature, morning light pixabay query Rio cafe morning with sunlight and breakfast coffee","https://pixabay.com/videos/id-243196/","adege","Pixabay Content License","yes","not required","yes","Auto-sourced during render on 2026-08-04T09:13:54.3712203+01:00. Query: Rio cafe morning with sunlight and breakfast coffee."
"C:\Users\willi\Documents\Codex\2026-06-06\i-want-to-create-something-that\outputs\jazz-content-scheduler\visual-sources\approved-videos\pexels-10665529-nylon-guitar.mp4","https://www.pexels.com/video/close-up-on-hand-playing-on-guitar-10665529/","pexels query Nylon guitar","https://www.pexels.com/video/close-up-on-hand-playing-on-guitar-10665529/","Dmitry Marchenkov","Pexels License","yes","recommended","yes","Auto-sourced during render on 2026-08-04T09:15:38.3191503+01:00. Query: Nylon guitar."
